n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
0,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          0,         0
1,             0,               0,              0,         0,           0,          0,          1,            1,         138,        2,          1,         1
2,             1,               0,              0,         1,           0,          1,          2,            2,         133,        9,          3,         2
3,             3,               2,              1,         2,           1,          2,          3,            3,         147,       15,          5,         2
4,             6,               4,              1,         4,           2,          2,          4,            4,         176,       25,          7,         3
5,             9,               6,              1,         6,           3,          3,          5,            5,         247,       34,          9,         4
6,            12,               8,              1,         9,           4,          3,          6,            6,         250,       48,         13,         5
7,            18,              13,              2,        11,           6,          4,          7,            7,         198,       58,         16,         7
8,            19,              13,              2,        16,           6,          5,          8,            8,         256,       79,         22,         6
9,            27,              20,              2,        19,           9,          6,          9,            9,         251,       94,         25,         7
