   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              0,         0,           0,          1,          0,            0,           0,        0,          0,         0
   1,             0,               0,              0,         0,           0,          0,          1,            1,         141,        0,          1,         1
   2,             1,               0,              1,         1,           0,          7,          2,            2,          57,        1,          3,         0
   3,             3,               2,              0,         2,           1,          0,          3,            3,          43,        3,          5,         0
   4,             4,               2,              0,         5,           1,          0,          4,            4,          50,        7,          9,         3
   5,             5,               2,              1,         6,           1,          0,          5,            5,          59,       12,         11,         0
   6,             6,               2,              1,         8,           1,          0,          6,            6,          58,       16,         13,         1
   7,             7,               2,              1,        12,           1,          0,          7,            7,          62,       21,         16,         1
   8,             8,               2,              1,        13,           1,          0,          8,            8,          66,       27,         22,         1
   9,             9,               2,              1,        15,           1,          0,          9,            9,          70,       35,         26,         1
  10,            10,               2,              1,        18,           1,          1,         10,           10,         137,       41,         30,         1
  11,            11,               2,              1,        21,           1,          1,         11,           11,          91,       49,         34,         1
  12,            13,               3,              1,        23,           2,          1,         12,           12,         100,       55,         39,         1
  13,            14,               3,              1,        28,           2,          0,         13,           13,          87,       63,         43,         1
  14,            15,               3,              1,        31,           2,          1,         14,           14,         122,       69,         48,         2
  15,            16,               3,              1,        32,           2,          1,         15,           15,          90,       76,         52,         1
  16,            17,               3,              1,        33,           2,          1,         16,           16,         102,       83,         58,         3
  17,            19,               4,              1,        37,           3,          2,         17,           17,         174,       94,         63,         2
  18,            20,               4,              1,        41,           3,          6,         18,           18,         107,      102,         69,         2
  19,            21,               4,              1,        44,           3,          1,         19,           19,          88,      112,         75,         2
  20,            23,               5,              1,        47,           4,          1,         20,           20,          93,      120,         82,         2
  21,            25,               6,              2,        54,           5,          1,         21,           21,         107,      130,         87,         2
  22,            26,               6,              2,        56,           5,          1,         22,           22,         119,      138,         91,         2
  23,            27,               6,              2,        57,           5,          1,         23,           23,         127,      148,         97,         2
  24,            28,               6,              1,        59,           5,          7,         24,           24,         144,      156,        102,         2
  25,            29,               6,              2,        68,           5,          2,         25,           25,         123,      166,        108,         2
  26,            31,               7,              2,        69,           6,          1,         26,           26,         123,      174,        113,         3
  27,            33,               8,              2,        73,           7,          2,         27,           27,         278,      184,        118,        15
  28,            36,              10,              2,        77,           9,          6,         28,           28,         174,      192,        124,         3
  29,            37,              10,              2,        80,           9,          2,         29,           29,         246,      202,        130,         3
  30,            38,              10,              2,        82,           8,          2,         30,           30,         128,      210,        137,         3
  31,            40,              11,              3,        83,          10,          4,         31,           31,         121,      220,        142,         3
  32,            41,              11,              2,        85,          10,          2,         32,           32,         128,      230,        148,         3
  33,            42,              11,              2,        91,          10,          2,         33,           33,         143,      243,        154,         3
  34,            43,              11,              2,        95,          10,          2,         34,           34,         164,      254,        164,         3
  35,            45,              12,              3,        98,          10,          3,         35,           35,         188,      266,        167,         4
  36,            46,              12,              3,       104,          10,          2,         36,           36,         149,      278,        177,         4
  37,            47,              12,              3,       107,          11,          2,         37,           37,         146,      290,        181,         3
  38,            48,              12,              3,       112,          10,          2,         38,           38,         137,      298,        187,         3
  39,            49,              12,              3,       117,          11,          3,         39,           39,         283,      311,        195,         3
  40,            51,              13,              3,       120,          12,          3,         40,           40,         170,      321,        198,         3
  41,            52,              13,              3,       127,          12,          2,         41,           41,         692,      333,        206,         4
  42,            53,              13,              3,       129,          11,          3,         42,           42,         753,      342,        214,         4
  43,            54,              13,              5,       132,          12,          6,         43,           43,         177,      354,        222,         4
  44,            55,              13,              3,       136,          12,          2,         44,           44,         173,      364,        228,         4
  45,            56,              13,              3,       138,          12,          3,         45,           45,         177,      376,        234,         4
  46,            57,              13,              3,       140,          12,          2,         46,           46,         194,      389,        242,         5
  47,            59,              14,              3,       144,          12,          2,         47,           47,         178,      399,        247,         4
  48,            61,              15,              3,       146,          13,          2,         48,           48,         176,      410,        255,         4
  49,            62,              15,              3,       159,          14,          3,         49,           49,         189,      424,        260,         4
  50,            63,              15,              3,       162,          14,          3,         50,           50,         210,      434,        270,         4
  51,            65,              16,              4,       163,          15,          3,         51,           51,         194,      446,        273,         4
  52,            67,              17,              4,       168,          16,          3,         52,           52,         211,      459,        280,         4
  53,            70,              19,              4,       172,          17,          3,         53,           53,         854,      470,        287,         4
  54,            73,              21,              4,       174,          19,          5,         54,           54,         185,      480,        293,         4
  55,            74,              21,              4,       181,          18,          3,         55,           55,        1039,      490,        300,         5
  56,            75,              21,              4,       183,          19,          5,         56,           56,         251,      503,        308,         5
  57,            76,              21,              4,       187,          20,          5,         57,           57,         197,      517,        312,         5
  58,            77,              21,              4,       190,          20,          4,         58,           58,         236,      524,        320,         5
  59,            78,              21,              4,       192,          17,          4,         59,           59,         193,      535,        327,         6
  60,            79,              21,              4,       194,          18,          3,         60,           60,         206,      547,        334,         5
  61,            80,              21,              4,       198,          20,          4,         61,           61,         215,      560,        339,         5
  62,            81,              21,              4,       199,          20,          3,         62,           62,         208,      570,        346,         5
  63,            82,              21,              4,       201,          18,          4,         63,           63,         222,      582,        352,         5
  64,            84,              22,              5,       202,          19,          4,         64,           64,        1012,      592,        355,         7
  65,            85,              22,              5,       209,          20,          5,         65,           65,        1050,      606,        363,         6
  66,            86,              22,              5,       217,          21,         10,         66,           66,         250,      621,        377,         7
  67,            87,              22,              4,       223,          21,          4,         67,           67,         231,      635,        383,         6
  68,            89,              23,              4,       226,          22,          5,         68,           68,         241,      649,        392,         6
  69,            92,              25,              5,       230,          21,          5,         69,           69,         240,      664,        398,         6
  70,            96,              28,              5,       232,          23,          4,         70,           70,         228,      676,        407,         6
  71,           100,              31,              5,       245,          27,          6,         71,           71,         239,      690,        413,         6
  72,           101,              31,              5,       250,          26,          4,         72,           72,         259,      703,        423,         6
  73,           102,              31,              5,       253,          26,          5,         73,           73,         238,      717,        427,         6
  74,           103,              31,              5,       255,          24,          7,         74,           74,        1166,      732,        437,         6
  75,           104,              31,              6,       256,          23,          5,         75,           75,         777,      743,        445,         6
  76,           105,              31,              5,       266,          26,         12,         76,           76,         240,      758,        453,         7
  77,           106,              31,              5,       271,          25,          5,         77,           77,         229,      771,        459,         6
  78,           108,              32,              5,       274,          25,          2,         78,           78,         256,      784,        468,         6
  79,           111,              34,              5,       281,          29,          2,         79,           79,         247,      800,        476,         7
  80,           112,              34,              6,       284,          28,          4,         80,           80,         256,      814,        484,         6
  81,           113,              34,              6,       286,          27,          2,         81,           81,         263,      826,        488,         6
  82,           114,              34,              6,       299,          29,          5,         82,           82,         253,      838,        494,         6
  83,           116,              35,              6,       299,          28,          4,         83,           83,         305,      856,        507,         9
  84,           117,              35,              8,       302,          27,          7,         84,           84,        1849,      867,        511,         9
  85,           120,              37,              6,       306,          30,          4,         85,           85,         368,      881,        517,         9
  86,           124,              40,              7,       307,          31,          7,         86,           86,         280,      894,        526,         8
  87,           125,              40,              6,       322,          33,          3,         87,           87,         397,      908,        534,         9
  88,           126,              40,              7,       322,          33,          4,         88,           88,         268,      920,        542,         8
  89,           127,              40,              7,       325,          34,          5,         89,           89,         289,      932,        546,         8
  90,           128,              40,              6,       330,          34,          3,         90,           90,         247,      947,        558,         7
  91,           130,              41,              7,       331,          32,          3,         91,           91,         260,      963,        565,         7
  92,           131,              41,              7,       336,          31,          5,         92,           92,         257,      975,        575,         7
  93,           132,              41,              7,       338,          32,          3,         93,           93,        1671,      990,        580,         8
  94,           133,              41,              7,       341,          34,          4,         94,           94,         365,     1003,        590,         8
  95,           134,              41,              7,       344,          31,          5,         95,           95,         283,     1019,        600,         8
  96,           135,              41,              7,       346,          31,          4,         96,           96,         276,     1029,        601,         8
  97,           139,              44,              8,       360,          35,          3,         97,           97,         766,     1039,        609,        10
  98,           144,              48,              8,       366,          39,          4,         98,           98,         305,     1053,        616,        10
  99,           145,              48,              9,       374,          35,          4,         99,           99,         295,     1073,        631,        10
 100,           146,              48,              7,       379,          38,          5,        100,          100,        1112,     1084,        636,        11
 101,           147,              48,              8,       376,          39,          6,        101,          101,        1271,     1101,        640,         9
 102,           148,              48,              8,       383,          38,          6,        102,          102,         281,     1116,        654,        10
 103,           149,              48,              7,       387,          34,          5,        103,          103,         279,     1127,        659,         9
 104,           150,              48,              8,       390,          35,          5,        104,          104,         473,     1141,        672,         9
 105,           151,              48,              8,       390,          35,          7,        105,          105,         278,     1155,        675,         8
 106,           152,              48,              9,       402,          37,          3,        106,          106,         334,     1166,        686,        11
 107,           154,              49,              8,       402,          39,          6,        107,          107,         347,     1182,        693,         9
 108,           156,              50,              8,       407,          39,          3,        108,          108,        1974,     1194,        701,        13
 109,           160,              53,              8,       410,          39,         11,        109,          109,         368,     1208,        708,        11
 110,           163,              55,              9,       415,          40,          6,        110,          110,         287,     1220,        716,        23
 111,           164,              55,              8,       419,          42,          6,        111,          111,         585,     1234,        724,        10
 112,           165,              55,              8,       421,          43,          5,        112,          112,         267,     1247,        733,        10
 113,           167,              56,             16,       428,          44,          6,        113,          113,         267,     1263,        736,        10
 114,           169,              57,              2,       431,          45,          7,        114,          114,         341,     1275,        744,        18
 115,           173,              60,              1,       435,          47,          4,        115,          115,         308,     1288,        755,        22
 116,           174,              60,              1,       440,          47,          5,        116,          116,         317,     1303,        759,         7
 117,           175,              60,              1,       445,          44,          8,        117,          117,        1642,     1316,        769,         6
 118,           176,              60,              1,       449,          45,          6,        118,          118,        1694,     1328,        775,         8
 119,           179,              62,              1,       452,          49,          5,        119,          119,         282,     1342,        787,         7
 120,           180,              62,              1,       454,          50,          6,        120,          120,         270,     1354,        790,         7
 121,           181,              62,              1,       462,          47,          7,        121,          121,         271,     1369,        801,         8
 122,           182,              62,              1,       462,          49,          4,        122,          122,         293,     1384,        806,         6
 123,           183,              62,              1,       464,          47,          8,        123,          123,         487,     1396,        812,         7
 124,           184,              62,              1,       464,          49,          4,        124,          124,         390,     1406,        821,         7
 125,           185,              62,              1,       470,          50,          7,        125,          125,        3172,     1420,        829,         8
 126,           186,              62,              1,       472,          51,          6,        126,          126,         445,     1432,        836,         9
 127,           187,              62,              1,       476,          44,          8,        127,          127,         441,     1450,        842,         8
 128,           188,              62,              1,       477,          44,          4,        128,          128,         522,     1459,        851,         7
 129,           191,              64,              1,       481,          49,          7,        129,          129,         285,     1474,        859,         7
 130,           192,              64,              1,       491,          50,          4,        130,          130,         294,     1490,        872,         5
 131,           193,              64,              1,       494,          52,          6,        131,          131,        1882,     1511,        878,        10
 132,           194,              64,              6,       502,          48,          6,        132,          132,         380,     1526,        886,         7
 133,           196,              65,              1,       512,          52,          7,        133,          133,         289,     1539,        897,         6
 134,           197,              65,              1,       520,          50,         18,        134,          134,         282,     1553,        906,         5
 135,           198,              65,              1,       522,          55,          4,        135,          135,         413,     1570,        912,         5
 136,           199,              65,              1,       528,          54,          9,        136,          136,         340,     1587,        927,         5
 137,           200,              65,              1,       534,          48,          6,        137,          137,         475,     1601,        930,         5
 138,           201,              65,              1,       537,          47,          5,        138,          138,         327,     1621,        945,         5
 139,           202,              65,              1,       535,          46,          4,        139,          139,        3011,     1637,        954,         6
 140,           203,              65,              1,       541,          46,          8,        140,          140,         355,     1649,        961,         9
 141,           204,              65,              2,       555,          53,          9,        141,          141,         335,     1665,        965,         9
 142,           205,              65,              1,       561,          52,         20,        142,          142,         303,     1680,        976,         8
 143,           208,              67,              1,       566,          52,          4,        143,          143,         322,     1695,        984,         6
 144,           209,              67,              1,       570,          51,          3,        144,          144,         312,     1710,        991,         6
 145,           210,              67,              1,       577,          51,          4,        145,          145,         347,     1728,       1004,         6
 146,           212,              68,              1,       581,          53,          4,        146,          146,         316,     1742,       1015,         5
 147,           213,              68,              1,       584,          51,          6,        147,          147,        2584,     1760,       1020,         7
 148,           214,              68,              1,       585,          49,          7,        148,          148,         560,     1772,       1028,         6
 149,           215,              68,              1,       591,          49,          6,        149,          149,         271,     1785,       1034,         5
 150,           217,              69,              1,       597,          50,          6,        150,          150,         364,     1803,       1047,         9
 151,           219,              70,              2,       601,          53,          9,        151,          151,         336,     1822,       1055,         8
 152,           220,              70,              1,       604,          54,          6,        152,          152,         323,     1837,       1069,         7
 153,           221,              70,              1,       624,          54,          4,        153,          153,         315,     1852,       1070,         7
 154,           222,              70,              1,       624,          54,          4,        154,          154,         503,     1869,       1084,        27
 155,           223,              70,              3,       624,          53,          5,        155,          155,        3430,     1882,       1088,        15
 156,           224,              70,              1,       629,          52,          5,        156,          156,         595,     1900,       1097,        10
 157,           225,              70,              2,       637,          54,          9,        157,          157,         389,     1917,       1108,         8
 158,           226,              70,              1,       644,          55,          7,        158,          158,         365,     1930,       1122,        12
 159,           228,              71,              2,       641,          53,         10,        159,          159,         354,     1943,       1122,         7
 160,           229,              71,              1,       645,          53,          4,        160,          160,         345,     1961,       1130,         7
 161,           230,              71,              1,       646,          53,          5,        161,          161,        2199,     1979,       1142,        10
 162,           232,              72,              2,       661,          56,          8,        162,          162,         713,     1993,       1147,        10
 163,           233,              72,              2,       672,          56,          9,        163,          163,         475,     2007,       1160,        10
 164,           234,              72,              2,       676,          55,          6,        164,          164,         400,     2025,       1173,        10
 165,           236,              73,              2,       676,          57,          9,        165,          165,         312,     2039,       1179,         9
 166,           239,              75,              2,       682,          60,          7,        166,          166,         344,     2052,       1187,         8
 167,           243,              78,              1,       683,          55,          4,        167,          167,         361,     2067,       1193,         7
 168,           248,              82,              1,       687,          56,          8,        168,          168,         376,     2082,       1203,         6
 169,           249,              82,              1,       699,          64,          7,        169,          169,         362,     2101,       1209,         7
 170,           250,              82,              1,       704,          60,          8,        170,          170,        3136,     2115,       1219,        11
 171,           251,              82,              1,       704,          59,         13,        171,          171,        4564,     2130,       1229,        11
 172,           252,              82,              2,       704,          58,          9,        172,          172,        1595,     2145,       1238,        11
 173,           253,              82,              2,       717,          61,          9,        173,          173,         326,     2163,       1240,        10
 174,           254,              82,              2,       723,          62,          7,        174,          174,       11288,     2177,       1254,       866
 175,           256,              83,              2,       725,          64,         18,        175,          175,        8642,     2192,       1263,        13
 176,           257,              83,              2,       729,          64,         10,        176,          176,        4750,     2208,       1269,        12
 177,           258,              83,              2,       737,          65,          7,        177,          177,         437,     2220,       1279,        12
 178,           260,              84,              2,       735,          65,         10,        178,          178,         318,     2236,       1284,        12
 179,           261,              84,              2,       743,          64,          7,        179,          179,         355,     2252,       1298,        11
 180,           262,              84,              2,       752,          66,          9,        180,          180,         351,     2269,       1310,        10
 181,           263,              84,              2,       750,          61,         10,        181,          181,         334,     2285,       1312,         8
 182,           264,              84,              1,       754,          60,          7,        182,          182,         335,     2298,       1319,         8
 183,           265,              84,              1,       760,          64,          5,        183,          183,         336,     2313,       1327,         7
 184,           267,              85,              1,       763,          65,          6,        184,          184,        6558,     2329,       1336,        12
 185,           269,              86,              2,       765,          61,         10,        185,          185,         535,     2347,       1348,        10
 186,           272,              88,             15,       770,          63,          7,        186,          186,         552,     2360,       1356,        22
 187,           274,              89,              2,       780,          72,          5,        187,          187,         619,     2380,       1362,        12
 188,           275,              89,              2,       786,          72,          7,        188,          188,        1383,     2393,       1376,        12
 189,           276,              89,              5,       782,          66,         25,        189,          189,         879,     2410,       1383,        14
 190,           277,              89,              2,       786,          66,         10,        190,          190,         465,     2428,       1394,        11
 191,           279,              90,              2,       789,          66,          8,        191,          191,         422,     2441,       1400,        10
 192,           282,              92,              2,       790,          67,          7,        192,          192,         535,     2454,       1406,        12
 193,           286,              95,              2,       805,          72,          8,        193,          193,         373,     2471,       1415,        11
 194,           291,              99,              2,       813,          74,          5,        194,          194,        3131,     2487,       1425,        13
 195,           292,              99,              2,       821,          75,          9,        195,          195,         995,     2503,       1432,        13
 196,           293,              99,              2,       825,          76,          6,        196,          196,         442,     2515,       1441,        12
 197,           294,              99,              2,       839,          73,         17,        197,          197,         389,     2533,       1447,        14
 198,           295,              99,              2,       840,          72,          6,        198,          198,         341,     2546,       1458,        12
 199,           296,              99,              2,       844,          77,          8,        199,          199,         504,     2565,       1466,        24
 200,           297,              99,              2,       847,          76,          8,        200,          200,        2650,     2580,       1474,        26
 201,           298,              99,              2,       851,          75,          9,        201,          201,         721,     2589,       1478,        12
 202,           300,             100,              2,       855,          77,          9,        202,          202,         359,     2607,       1489,        12
 203,           301,             100,              2,       859,          76,         10,        203,          203,         337,     2625,       1498,        10
 204,           302,             100,              2,       864,          76,          8,        204,          204,         347,     2640,       1511,        11
 205,           303,             100,              2,       871,          73,          9,        205,          205,         319,     2656,       1516,        12
 206,           305,             101,              2,       869,          73,          9,        206,          206,         400,     2672,       1530,        11
 207,           306,             101,              2,       877,          72,          8,        207,          207,        1724,     2689,       1536,        11
 208,           309,             103,              2,       881,          74,         36,        208,          208,        1873,     2705,       1551,        14
 209,           310,             103,              3,       891,          79,         12,        209,          209,         602,     2722,       1556,        13
 210,           311,             103,              2,       891,          75,          8,        210,          210,         374,     2736,       1566,        13
 211,           312,             103,              2,       902,          78,          8,        211,          211,         382,     2752,       1572,        12
 212,           313,             103,              2,       908,          80,         13,        212,          212,         342,     2766,       1581,         9
 213,           314,             103,              2,       905,          79,          8,        213,          213,        3269,     2781,       1586,        10
 214,           315,             103,              2,       915,          79,         18,        214,          214,         393,     2796,       1599,        13
 215,           316,             103,              3,       916,          77,          9,        215,          215,         344,     2815,       1608,        12
 216,           317,             103,              2,       920,          76,          9,        216,          216,         361,     2825,       1613,        10
 217,           318,             103,              2,       925,          78,          8,        217,          217,         353,     2840,       1623,        14
 218,           320,             104,              2,       933,          80,         10,        218,          218,         503,     2857,       1629,         9
 219,           321,             104,              2,       936,          76,          8,        219,          219,         329,     2876,       1644,         9
 220,           322,             104,              2,       940,          76,          7,        220,          220,        3594,     2892,       1654,         9
 221,           323,             104,              2,       938,          80,          8,        221,          221,         454,     2908,       1660,        14
 222,           326,             106,              3,       943,          81,         12,        222,          222,         450,     2921,       1669,        12
 223,           327,             106,              2,       947,          80,          8,        223,          223,         405,     2939,       1679,        10
 224,           328,             106,              2,       949,          79,          8,        224,          224,         405,     2952,       1687,        14
 225,           330,             107,              2,       963,          88,         10,        225,          225,        2940,     2966,       1695,        14
 226,           331,             107,              3,       969,          82,         12,        226,          226,         424,     2985,       1704,        15
 227,           332,             107,              3,       965,          82,         11,        227,          227,         460,     3002,       1715,        14
 228,           333,             107,              3,       969,          82,         14,        228,          228,         848,     3016,       1722,        25
 229,           334,             107,              2,       975,          85,          9,        229,          229,         372,     3035,       1732,        16
 230,           336,             108,              2,       979,          85,          9,        230,          230,         386,     3047,       1741,        14
 231,           339,             110,              3,       985,          82,          9,        231,          231,        3390,     3064,       1747,        30
 232,           342,             112,              3,       989,          86,         13,        232,          232,         878,     3078,       1753,        14
 233,           343,             112,              2,      1000,          87,         10,        233,          233,         585,     3095,       1765,        14
 234,           344,             112,              3,      1005,          86,         10,        234,          234,         470,     3109,       1772,        14
 235,           345,             112,              2,      1003,          81,         10,        235,          235,         372,     3126,       1783,        12
 236,           346,             112,              2,      1009,          82,          9,        236,          236,        2988,     3140,       1793,        15
 237,           347,             112,              3,      1013,          90,         12,        237,          237,         401,     3155,       1794,        14
 238,           349,             113,              3,      1015,          90,         11,        238,          238,         390,     3172,       1812,        17
 239,           350,             113,              2,      1023,          91,          8,        239,          239,         796,     3188,       1819,        16
 240,           351,             113,              4,      1028,          91,         10,        240,          240,         485,     3203,       1823,        16
 241,           353,             114,              3,      1025,          84,          9,        241,          241,         408,     3218,       1827,        14
 242,           356,             116,              2,      1038,          93,          9,        242,          242,       11665,     3233,       1837,        16
 243,           357,             116,              3,      1036,          90,         15,        243,          243,       10795,     3249,       1856,        16
 244,           358,             116,              3,      1045,          91,         11,        244,          244,         857,     3264,       1865,        15
 245,           359,             116,              2,      1043,          90,         10,        245,          245,         765,     3285,       1875,        15
 246,           361,             117,              3,      1045,          89,         11,        246,          246,         434,     3295,       1878,        16
 247,           363,             118,              3,      1046,          95,         12,        247,          247,         734,     3310,       1885,        15
 248,           365,             119,              3,      1052,          95,         14,        248,          248,        4898,     3323,       1897,        16
 249,           366,             119,              3,      1062,          98,         40,        249,          249,         807,     3341,       1903,        16
 250,           367,             119,              3,      1063,          95,         10,        250,          250,         437,     3356,       1916,        15
 251,           369,             120,              2,      1063,          96,          9,        251,          251,        1417,     3368,       1919,        16
 252,           370,             120,              3,      1070,          96,         11,        252,          252,        1580,     3386,       1923,        57
 253,           371,             120,              3,      1073,          93,         17,        253,          253,         814,     3400,       1929,        16
 254,           373,             121,              3,      1077,          90,         13,        254,          254,         404,     3413,       1940,        34
 255,           375,             122,              2,      1074,          94,         12,        255,          255,         405,     3428,       1951,        15
 256,           376,             122,              2,      1076,          94,          8,        256,          256,         397,     3448,       1965,        12
 257,           377,             122,              2,      1089,          95,         10,        257,          257,         395,     3467,       1973,        16
