  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
  0,             0,               0,              0,         0,           0,          0,          0,            0,           0,        0,          0,         0
  1,             0,               0,              0,         0,           0,          0,          1,            1,         163,        0,          1,         1
  2,             1,               1,              1,         1,           1,          2,          2,            2,         110,        1,          2,         0
  3,             2,               1,              0,         3,           1,          2,          3,            3,         134,        3,          4,         7
  4,             4,               2,              1,         4,           2,          3,          4,            4,         130,        6,          7,         1
  5,             5,               2,              1,         8,           2,          3,          5,            5,         138,       11,         11,         2
  6,            10,               6,              1,        10,           4,         14,          6,            6,         161,       15,         13,         2
  7,            13,               8,              1,        13,           6,          4,          7,            7,         134,       19,         15,         2
  8,            20,              15,              1,        16,           9,          6,          8,            8,         154,       27,         20,        57
  9,            26,              20,              2,        20,           8,          6,          9,            9,         247,       33,         21,         4
 10,            34,              27,              2,        23,          11,         13,         10,           10,         162,       37,         24,         1
 11,            40,              32,              2,        27,          13,          6,         11,           11,         167,       46,         29,         1
 12,            44,              35,              2,        31,          15,          7,         12,           12,         403,       51,         34,         1
 13,            55,              45,              3,        32,          15,          7,         13,           13,         280,       56,         36,         2
 14,            59,              48,              3,        37,          16,          8,         14,           14,         199,       61,         39,         2
 15,            67,              55,              4,        41,          20,          8,         15,           15,         183,       68,         44,         2
 16,            70,              57,              4,        45,          21,          8,         16,           16,         212,       80,         54,         2
 17,            83,              69,              4,        51,          23,          9,         17,           17,         229,       90,         56,         2
 18,            92,              77,              5,        57,          23,          9,         18,           18,         223,       99,         62,         2
 19,            95,              79,              5,        59,          27,         12,         19,           19,         232,      106,         66,         2
 20,           114,              98,              6,        64,          31,          4,         20,           20,         240,      116,         73,         2
 21,           133,             116,              7,        69,          31,          1,         21,           21,         238,      124,         75,         2
 22,           154,             136,              8,        73,          36,          3,         22,           22,         245,      127,         77,         2
 23,           168,             149,              8,        81,          39,          1,         23,           23,         277,      137,         82,         3
 24,           182,             162,              9,        86,          42,          1,         24,           24,         302,      145,         89,         3
 25,           198,             177,              9,        81,          38,          2,         25,           25,         344,      154,         94,         9
 26,           211,             189,             10,        87,          43,          3,         26,           26,         277,      164,        102,         3
 27,           235,             212,             12,        95,          44,          2,         27,           27,         275,      170,        103,         9
 28,           241,             217,             11,       102,          47,          1,         28,           28,         338,      179,        108,         3
 29,           248,             223,             12,       104,          50,          7,         29,           29,         531,      186,        110,         4
 30,           255,             229,             12,       109,          54,          3,         30,           30,         774,      194,        116,         4
 31,           268,             241,             13,       116,          55,          3,         31,           31,         426,      202,        122,         4
 32,           280,             252,             14,       121,          59,          2,         32,           32,         358,      217,        131,         5
 33,           293,             264,             14,       128,          65,          4,         33,           33,         371,      226,        137,         4
 34,           321,             291,             18,       132,          66,          5,         34,           34,         291,      242,        144,         5
 35,           329,             298,             16,       143,          69,          2,         35,           35,         386,      253,        149,         5
 36,           357,             325,             18,       147,          72,          7,         36,           36,         262,      260,        154,         5
 37,           386,             353,             19,       146,          69,          3,         37,           37,         397,      268,        158,         4
 38,           415,             381,             20,       149,          72,          7,         38,           38,         312,      275,        160,         5
 39,           419,             384,             20,       161,          72,          4,         39,           39,         289,      288,        169,         5
 40,           458,             423,             22,       167,          77,          3,         40,           40,         228,      301,        174,         5
 41,           486,             450,             24,       172,          76,          3,         41,           41,         367,      310,        179,         5
 42,           508,             471,             23,       173,          79,          3,         42,           42,         238,      320,        184,         5
 43,           538,             500,             26,       182,          90,          3,         43,           43,         219,      335,        195,         6
