   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
   0,             0,               0,              1,         0,           0,          1,          0,            0,           0,        0,          0,         0
   1,             0,               0,              0,         0,           0,          2,          1,            1,         154,        0,          1,         1
   2,             1,               0,              0,         1,           0,          6,          2,            2,          55,        1,          3,         0
   3,             3,               1,              0,         3,           1,          0,          3,            3,          46,        3,          4,         0
   4,             4,               1,              0,         5,           1,          0,          4,            4,          59,        7,          8,         3
   5,             8,               4,              0,         8,           3,          0,          5,            5,          61,       12,         11,         0
   6,            11,               6,              0,        11,           5,          0,          6,            6,          62,       16,         13,         0
   7,            16,              10,              0,        13,           5,          0,          7,            7,          63,       19,         15,         0
   8,            20,              13,              0,        16,           7,          0,          8,            8,          70,       27,         20,         1
   9,            26,              18,              0,        20,          11,          0,          9,            9,          74,       35,         25,         1
  10,            28,              19,              0,        25,          11,          0,         10,           10,         113,       41,         30,         1
  11,            30,              20,              0,        28,          11,          0,         11,           11,          77,       48,         33,         1
  12,            33,              22,              0,        31,          13,          1,         12,           12,         100,       57,         39,         1
  13,            34,              22,              0,        34,          12,          1,         13,           13,         200,       65,         43,        19
  14,            42,              29,              0,        38,          15,          1,         14,           14,         118,       69,         46,         1
  15,            51,              37,              0,        42,          18,          1,         15,           15,          93,       73,         50,         1
  16,            62,              47,              0,        46,          22,          1,         16,           16,         105,       82,         54,         1
  17,            78,              62,              0,        49,          27,          1,         17,           17,         100,       87,         57,         1
  18,            91,              74,              0,        53,          29,          1,         18,           18,         110,       97,         63,         1
  19,            96,              78,              0,        60,          29,          1,         19,           19,          93,      105,         67,         2
  20,           110,              91,              1,        65,          33,          1,         20,           20,         135,      109,         70,         2
  21,           128,             108,              1,        69,          32,          2,         21,           21,          97,      119,         79,         2
  22,           131,             110,              0,        74,          34,          4,         22,           22,         111,      127,         85,         2
  23,           132,             110,              0,        76,          35,          1,         23,           23,         119,      137,         87,         2
  24,           154,             131,              1,        80,          39,          2,         24,           24,         152,      151,         96,         3
  25,           176,             152,              1,        89,          36,          2,         25,           25,         113,      162,        101,         2
  26,           189,             164,              1,        93,          38,          2,         26,           26,         106,      170,        103,         2
  27,           213,             187,              1,        95,          43,          2,         27,           27,         110,      177,        106,         3
  28,           235,             208,              1,       101,          47,          2,         28,           28,         394,      188,        115,         3
  29,           250,             222,              1,       110,          48,          2,         29,           29,         122,      199,        119,         3
  30,           266,             237,              1,       112,          50,          2,         30,           30,         356,      205,        122,         3
  31,           275,             245,              1,       117,          53,          2,         31,           31,         142,      214,        124,         3
  32,           286,             255,              1,       120,          56,          2,         32,           32,         130,      225,        132,         3
  33,           312,             280,              1,       125,          65,          2,         33,           33,         330,      232,        139,         4
  34,           342,             309,              2,       131,          66,          3,         34,           34,         227,      240,        142,         3
  35,           373,             339,              2,       134,          70,          3,         35,           35,         150,      251,        144,         3
  36,           385,             350,              2,       139,          71,          2,         36,           36,         139,      260,        153,         3
  37,           414,             378,              2,       151,          74,          2,         37,           37,         141,      269,        161,         3
  38,           437,             400,              2,       155,          77,          2,         38,           38,         143,      283,        161,         4
  39,           457,             419,              2,       159,          84,          4,         39,           39,         147,      295,        174,         3
  40,           482,             443,              2,       165,          89,          3,         40,           40,         149,      300,        178,         3
  41,           513,             473,              6,       170,          82,          3,         41,           41,         900,      306,        182,         3
  42,           535,             494,              3,       174,          86,          3,         42,           42,         694,      320,        191,         5
  43,           573,             531,              3,       187,          93,          8,         43,           43,         169,      335,        200,         4
  44,           580,             537,              3,       196,          92,          3,         44,           44,         163,      335,        196,         4
  45,           618,             574,              3,       189,          89,          3,         45,           45,         162,      349,        201,         4
  46,           622,             577,              3,       196,          92,          3,         46,           46,         174,      360,        210,         4
  47,           656,             610,              3,       201,          95,          3,         47,           47,         172,      376,        217,         4
  48,           692,             645,              3,       206,         100,          3,         48,           48,         171,      391,        226,         4
  49,           720,             672,              4,       218,         101,          4,         49,           49,         174,      404,        235,         4
  50,           735,             686,              4,       224,         101,          3,         50,           50,         180,      413,        243,         4
  51,           776,             726,              4,       228,         102,          4,         51,           51,         180,      429,        247,         4
  52,           789,             738,              4,       233,         103,          4,         52,           52,         175,      437,        257,         4
  53,           791,             739,             29,       240,         106,          6,         53,           53,         962,      452,        266,         5
  54,           832,             779,              4,       243,         115,          6,         54,           54,         945,      471,        276,         5
  55,           863,             809,              5,       249,         120,          6,         55,           55,         282,      475,        278,         5
  56,           882,             827,              5,       252,         122,          7,         56,           56,         250,      484,        284,         6
  57,           896,             840,              5,       267,         124,          9,         57,           57,         208,      487,        281,         6
  58,           906,             849,              5,       275,         128,          6,         58,           58,         213,      508,        294,         6
  59,           947,             889,              5,       280,         133,          7,         59,           59,        1110,      518,        300,         6
  60,           960,             901,              5,       283,         132,          9,         60,           60,         202,      526,        306,         6
  61,          1020,             961,              5,       289,         134,          7,         61,           61,         647,      537,        314,         6
  62,          1042,             982,             54,       297,         143,          6,         62,           62,         723,      542,        311,         6
  63,          1058,             997,              6,       304,         141,          5,         63,           63,         215,      542,        310,         6
  64,          1060,             998,              6,       309,         142,          4,         64,           64,         212,      558,        321,         5
  65,          1094,            1031,              6,       312,         156,          5,         65,           65,         210,      574,        328,         6
  66,          1104,            1040,              6,       319,         153,          5,         66,           66,         220,      590,        337,         6
  67,          1130,            1065,              6,       326,         162,          7,         67,           67,         199,      606,        350,         6
  68,          1183,            1117,              6,       332,         163,          6,         68,           68,         212,      617,        354,         6
  69,          1184,            1117,             27,       340,         166,          6,         69,           69,         238,      629,        358,         6
  70,          1225,            1157,              7,       344,         161,          5,         70,           70,         220,      637,        364,         7
  71,          1255,            1186,              7,       350,         168,          7,         71,           71,         325,      652,        373,         6
  72,          1305,            1235,              7,       356,         174,          5,         72,           72,         255,      665,        376,         6
  73,          1375,            1304,              7,       367,         168,          6,         73,           73,        2071,      682,        389,         8
  74,          1406,            1334,             11,       376,         178,         10,         74,           74,         358,      693,        397,         7
  75,          1471,            1398,             26,       376,         180,          7,         75,           75,         237,      706,        409,         8
  76,          1539,            1465,              8,       384,         186,         12,         76,           76,         216,      716,        410,        22
  77,          1570,            1495,              9,       392,         192,          4,         77,           77,         216,      728,        418,         7
  78,          1608,            1532,              9,       398,         194,          3,         78,           78,         221,      749,        431,         7
  79,          1650,            1573,              9,       403,         204,          3,         79,           79,         208,      755,        430,         9
  80,          1707,            1629,             87,       409,         209,          3,         80,           80,         251,      758,        430,         8
  81,          1762,            1683,             80,       411,         201,          4,         81,           81,         220,      778,        444,         8
  82,          1808,            1728,             81,       422,         205,          4,         82,           82,         223,      786,        451,         9
  83,          1852,            1771,             83,       421,         209,          3,         83,           83,         223,      810,        458,         7
  84,          1929,            1847,             87,       428,         208,          8,         84,           84,        2205,      826,        466,         8
  85,          1976,            1893,              4,       450,         219,          6,         85,           85,         457,      835,        474,         8
  86,          1985,            1901,              3,       456,         221,          7,         86,           86,         294,      846,        482,         9
  87,          2065,            1980,              3,       468,         217,          4,         87,           87,         482,      862,        491,        10
  88,          2115,            2029,              3,       474,         219,          6,         88,           88,         309,      864,        492,        24
  89,          2169,            2082,              3,       465,         229,          8,         89,           89,         637,      870,        491,        10
  90,          2223,            2135,              3,       475,         229,          5,         90,           90,         311,      899,        514,         9
  91,          2267,            2178,              3,       484,         220,          7,         91,           91,        1048,      901,        505,        10
