    n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
    0,             0,               0,              1,         0,           0,          1,          0,            0,           0,        0,          0,         0
    1,             0,               0,              0,         0,           0,          0,          1,            1,         191,        0,          1,         2
    2,             1,               0,              0,         1,           0,          0,          2,            2,          57,        1,          3,         0
    3,             2,               0,              0,         3,           0,          6,          3,            3,          56,        3,          5,         1
    4,             5,               3,              0,         5,           2,          4,          4,            4,          61,        6,          6,         1
    5,             7,               4,              0,         8,           2,          0,          5,            5,          58,       10,          9,         0
    6,            12,               9,              0,        10,           4,          0,          6,            6,          48,       16,         14,         4
    7,            18,              15,              0,        13,           7,          0,          7,            7,          53,       21,         16,         1
    8,            25,              21,              0,        16,           9,          0,          8,            8,          61,       25,         18,         1
    9,            28,              23,              0,        20,           8,          1,          9,            9,          71,       31,         22,         1
   10,            35,              29,              0,        23,          10,          0,         10,           10,          66,       39,         28,         1
   11,            36,              29,              0,        28,           9,          0,         11,           11,          70,       47,         34,         1
   12,            46,              38,              0,        31,          12,          0,         12,           12,          70,       53,         35,         1
   13,            50,              41,              0,        35,          16,          0,         13,           13,         100,       59,         40,         1
   14,            56,              46,              0,        40,          18,          1,         14,           14,          77,       63,         43,         1
   15,            60,              49,              0,        44,          22,          1,         15,           15,          80,       68,         46,         1
   16,            69,              57,              0,        48,          26,          0,         16,           16,         221,       80,         54,         1
   17,            72,              59,              0,        53,          22,          1,         17,           17,         166,       90,         60,         2
   18,            87,              73,              1,        57,          27,          7,         18,           18,         147,       97,         64,         2
   19,            97,              82,              0,        62,          28,          1,         19,           19,         221,      103,         67,         2
   20,           101,              85,              1,        66,          31,          2,         20,           20,         110,      111,         74,         2
   21,           112,              95,              1,        71,          30,          1,         21,           21,         117,      119,         76,         2
   22,           113,              95,              0,        77,          27,          1,         22,           22,         337,      129,         86,         2
   23,           116,              97,              0,        79,          31,          1,         23,           23,         185,      139,         88,         2
   24,           126,             106,              0,        83,          35,          1,         24,           24,         109,      148,         95,         2
   25,           147,             126,              0,        89,          42,          1,         25,           25,         114,      157,        101,         2
   26,           159,             137,              1,        95,          42,          1,         26,           26,         129,      168,        106,         2
   27,           176,             153,              1,        99,          47,          2,         27,           27,         168,      176,        112,         3
