     n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time, bucket_cmp, bucket_swaps, bucket_time, heap_cmp, heap_swaps, heap_time
     0,             0,               0,              0,         0,           0,          1,          0,            0,           2,        0,          0,         0
     1,             0,               0,              0,         0,           0,          0,          1,            1,         242,        0,          1,         5
     2,             1,               0,              0,         1,           0,          0,          2,            2,          53,        1,          3,         2
     3,             3,               2,              0,         2,           1,          5,          3,            3,          52,        3,          5,         0
     4,             6,               5,              0,         4,           3,          4,          4,            4,          44,        7,          6,         0
     5,             7,               5,              0,         7,           2,          0,          5,            5,          59,       12,         10,         0
     6,            12,              10,              0,         9,           4,          0,          6,            6,         113,       17,         15,         0
     7,            18,              15,              0,        13,           7,          0,          7,            7,          56,       21,         16,         0
     8,            20,              16,              0,        15,           8,          0,          8,            8,          57,       27,         21,         0
     9,            22,              17,              0,        19,           6,          0,          9,            9,          73,       34,         26,         0
    10,            31,              26,              0,        24,           9,          0,         10,           10,          72,       40,         27,         0
    11,            34,              28,              0,        27,          11,          0,         11,           11,         142,       47,         31,         1
    12,            39,              32,              0,        31,          14,          1,         12,           12,          90,       53,         37,         0
    13,            49,              41,              0,        34,          19,          1,         13,           13,          85,       63,         42,         0
    14,            56,              47,              0,        38,          21,          0,         14,           14,          78,       70,         46,         0
    15,            66,              56,              0,        41,          23,          0,         15,           15,         157,       76,         51,         0
    16,            70,              59,              0,        46,          25,          1,         16,           16,         237,       84,         56,         1
    17,            75,              63,              0,        50,          23,          1,         17,           17,          80,       92,         60,         0
    18,            78,              65,              0,        55,          22,          1,         18,           18,          75,      102,         66,         0
    19,            96,              82,              0,        60,          29,          1,         19,           19,          77,      108,         69,         1
    20,           109,              94,              1,        63,          31,          1,         20,           20,         116,      116,         75,         1
    21,           125,             109,              0,        69,          32,          1,         21,           21,          84,      126,         76,         0
    22,           142,             125,              0,        74,          35,          1,         22,           22,         122,      134,         84,         0
    23,           144,             126,              0,        80,          33,          1,         23,           23,          91,      144,         91,         0
    24,           145,             126,              1,        83,          33,          1,         24,           24,          92,      152,         95,         1
    25,           159,             139,              1,        85,          41,          1,         25,           25,         108,      165,        104,         1
    26,           171,             150,              1,        94,          46,          1,         26,           26,         101,      174,        109,         1
